date,open,high,low,close,adj_close,volume
2020-07-27,12.5,12.5,12.5,12.5,12.5,0
2020-07-28,12.5,12.5,12.5,12.5,12.5,0
2020-07-29,12.5,12.5,12.5,12.5,12.5,0
2020-07-30,12.5,12.5,12.5,12.5,12.5,0
2020-07-31,12.5,12.5,12.5,12.5,12.5,0
2020-08-03,12.5,12.5,12.5,12.5,12.5,0
2020-08-04,12.5,12.5,12.5,12.5,12.5,0
2020-08-05,12.5,12.5,12.5,12.5,12.5,0
2020-08-06,12.5,12.5,12.5,12.5,12.5,0
2020-08-07,12.5,12.5,12.5,12.5,12.5,0
2020-08-10,12.5,12.5,12.5,12.5,12.5,0
2020-08-11,12.5,12.5,12.5,12.5,12.5,0
2020-08-12,12.5,12.5,12.5,12.5,12.5,0
2020-08-13,12.5,12.5,12.5,12.5,12.5,0
2020-08-14,12.5,12.5,12.5,12.5,12.5,0
2020-08-17,12.5,12.5,12.5,12.5,12.5,0
2020-08-18,12.5,12.5,12.5,12.5,12.5,0
2020-08-19,12.5,12.5,12.5,12.5,12.5,0
2020-08-20,12.5,12.5,12.5,12.5,12.5,0
2020-08-21,12.5,12.5,12.5,12.5,12.5,0
2020-08-24,12.5,12.5,12.5,12.5,12.5,0
2020-08-25,12.5,12.5,12.5,12.5,12.5,0
2020-08-26,12.5,12.5,12.5,12.5,12.5,0
2020-08-27,12.5,12.5,12.5,12.5,12.5,0
2020-08-28,12.5,12.5,12.5,12.5,12.5,0
2020-08-31,12.5,12.5,12.5,12.5,12.5,0
2020-09-01,12.5,12.5,12.5,12.5,12.5,0
2020-09-02,12.5,12.5,12.5,12.5,12.5,0
2020-09-03,12.5,12.5,12.5,12.5,12.5,0
2020-09-04,12.5,12.5,12.5,12.5,12.5,0
2020-09-08,12.5,12.5,12.5,12.5,12.5,0
2020-09-09,12.5,12.5,12.5,12.5,12.5,0
2020-09-10,12.5,12.5,12.5,12.5,12.5,0
2020-09-11,12.5,12.5,12.5,12.5,12.5,0
2020-09-14,12.5,12.5,12.5,12.5,12.5,0
2020-09-15,12.5,12.5,12.5,12.5,12.5,0
2020-09-16,12.5,12.5,12.5,12.5,12.5,0
2020-09-17,12.5,12.5,12.5,12.5,12.5,0
2020-09-18,12.5,12.5,12.5,12.5,12.5,0
2020-09-21,12.5,12.5,12.5,12.5,12.5,0
2020-09-22,12.5,12.5,12.5,12.5,12.5,0
2020-09-23,12.5,12.5,12.5,12.5,12.5,0
2020-09-24,12.5,12.5,12.5,12.5,12.5,0
2020-09-25,12.5,12.5,12.5,12.5,12.5,0
2020-09-28,12.5,12.5,12.5,12.5,12.5,0
2020-09-29,12.5,12.5,12.5,12.5,12.5,0
2020-09-30,12.5,12.5,12.5,12.5,12.5,0
2020-10-01,12.5,12.5,12.5,12.5,12.5,0
2020-10-02,12.5,12.5,12.5,12.5,12.5,0
2020-10-05,12.5,12.5,12.5,12.5,12.5,0
2020-10-06,12.5,12.5,12.5,12.5,12.5,0
2020-10-07,12.5,12.5,12.5,12.5,12.5,0
2020-10-08,12.5,12.5,12.5,12.5,12.5,0
2020-10-09,12.5,12.5,12.5,12.5,12.5,0
2020-10-12,12.5,12.5,12.5,12.5,12.5,0
2020-10-13,12.5,12.5,12.5,12.5,12.5,0
2020-10-14,12.5,12.5,12.5,12.5,12.5,0
2020-10-15,12.5,12.5,12.5,12.5,12.5,0
2020-10-16,12.5,12.5,12.5,12.5,12.5,0
2020-10-19,12.5,12.5,12.5,12.5,12.5,0
2020-10-20,12.5,12.5,12.5,12.5,12.5,0
2020-10-21,12.5,12.5,12.5,12.5,12.5,0
2020-10-22,12.5,12.5,12.5,12.5,12.5,0
2020-10-23,12.5,12.5,12.5,12.5,12.5,0
2020-10-26,12.5,12.5,12.5,12.5,12.5,0
2020-10-27,12.5,12.5,12.5,12.5,12.5,0
2020-10-28,12.5,12.5,12.5,12.5,12.5,0
2020-10-29,12.5,12.5,12.5,12.5,12.5,0
2020-10-30,12.5,12.5,12.5,12.5,12.5,0
2020-11-02,12.5,12.5,12.5,12.5,12.5,0
2020-11-03,12.5,12.5,12.5,12.5,12.5,0
2020-11-04,12.5,12.5,12.5,12.5,12.5,0
2020-11-05,12.5,12.5,12.5,12.5,12.5,0
2020-11-06,12.5,12.5,12.5,12.5,12.5,0
2020-11-09,12.5,12.5,12.5,12.5,12.5,0
2020-11-10,12.5,12.5,12.5,12.5,12.5,0
2020-11-11,12.5,12.5,12.5,12.5,12.5,0
2020-11-12,12.5,12.5,12.5,12.5,12.5,0
2020-11-13,12.5,12.5,12.5,12.5,12.5,0
2020-11-16,12.5,12.5,12.5,12.5,12.5,0
2020-11-17,12.5,12.5,12.5,12.5,12.5,0
2020-11-18,12.5,12.5,12.5,12.5,12.5,0
2020-11-19,12.5,12.5,12.5,12.5,12.5,0
2020-11-20,12.5,12.5,12.5,12.5,12.5,0
2020-11-23,12.5,12.5,12.5,12.5,12.5,0
2020-11-24,12.5,12.5,12.5,12.5,12.5,0
2020-11-25,12.5,12.5,12.5,12.5,12.5,0
2020-11-27,12.5,12.5,12.5,12.5,12.5,0
2020-11-30,12.5,12.5,12.5,12.5,12.5,0
2020-12-01,12.5,12.5,12.5,12.5,12.5,0
2020-12-02,12.5,12.5,12.5,12.5,12.5,0
2020-12-03,12.5,12.5,12.5,12.5,12.5,0
2020-12-04,12.5,12.5,12.5,12.5,12.5,0
2020-12-07,12.5,12.5,12.5,12.5,12.5,0
2020-12-08,12.5,12.5,12.5,12.5,12.5,0
2020-12-09,12.5,12.5,12.5,12.5,12.5,0
2020-12-10,12.5,12.5,12.5,12.5,12.5,0
2020-12-11,12.5,12.5,12.5,12.5,12.5,0
2020-12-14,12.5,12.5,12.5,12.5,12.5,0
2020-12-15,12.5,12.5,12.5,12.5,12.5,0
2020-12-16,12.5,12.5,12.5,12.5,12.5,0
2020-12-17,12.5,12.5,12.5,12.5,12.5,0
2020-12-18,12.5,12.5,12.5,12.5,12.5,0
2020-12-21,12.5,12.5,12.5,12.5,12.5,0
2020-12-22,12.5,12.5,12.5,12.5,12.5,0
2020-12-23,12.5,12.5,12.5,12.5,12.5,0
2020-12-24,12.5,12.5,12.5,12.5,12.5,0
2020-12-28,12.5,12.5,12.5,12.5,12.5,0
2020-12-29,12.5,12.5,12.5,12.5,12.5,0
2020-12-30,12.5,12.5,12.5,12.5,12.5,0
2020-12-31,12.5,12.5,12.5,12.5,12.5,0
2021-01-04,12.5,12.5,12.5,12.5,12.5,0
2021-01-05,12.5,12.5,12.5,12.5,12.5,0
2021-01-06,12.5,12.5,12.5,12.5,12.5,0
2021-01-07,12.5,12.5,12.5,12.5,12.5,0
2021-01-08,12.5,12.5,12.5,12.5,12.5,0
2021-01-11,12.5,12.5,12.5,12.5,12.5,0
2021-01-12,12.5,12.5,12.5,12.5,12.5,0
2021-01-13,12.5,12.5,12.5,12.5,12.5,0
2021-01-14,12.5,12.5,12.5,12.5,12.5,0
2021-01-15,12.5,12.5,12.5,12.5,12.5,0
2021-01-19,12.5,12.5,12.5,12.5,12.5,0
2021-01-20,12.5,12.5,12.5,12.5,12.5,0
2021-01-21,12.5,12.5,12.5,12.5,12.5,0
2021-01-22,12.5,12.5,12.5,12.5,12.5,0
2021-01-25,12.5,12.5,12.5,12.5,12.5,0
2021-01-26,12.5,12.5,12.5,12.5,12.5,0
2021-01-27,12.5,12.5,12.5,12.5,12.5,0
2021-01-28,12.5,12.5,12.5,12.5,12.5,0
2021-01-29,12.5,12.5,12.5,12.5,12.5,0
2021-02-01,12.5,12.5,12.5,12.5,12.5,0
2021-02-02,12.5,12.5,12.5,12.5,12.5,0
2021-02-03,12.5,12.5,12.5,12.5,12.5,0
2021-02-04,12.5,12.5,12.5,12.5,12.5,0
2021-02-05,12.5,12.5,12.5,12.5,12.5,0
2021-02-08,12.5,12.5,12.5,12.5,12.5,0
2021-02-09,12.5,12.5,12.5,12.5,12.5,0
2021-02-10,12.5,12.5,12.5,12.5,12.5,0
2021-02-11,12.5,12.5,12.5,12.5,12.5,0
2021-02-12,12.5,12.5,12.5,12.5,12.5,0
2021-02-16,12.5,12.5,12.5,12.5,12.5,0
2021-02-17,12.5,12.5,12.5,12.5,12.5,0
2021-02-18,12.5,12.5,12.5,12.5,12.5,0
2021-02-19,12.5,12.5,12.5,12.5,12.5,0
2021-02-22,12.5,12.5,12.5,12.5,12.5,0
2021-02-23,12.5,12.5,12.5,12.5,12.5,0
2021-02-24,12.5,12.5,12.5,12.5,12.5,0
2021-02-25,12.5,12.5,12.5,12.5,12.5,0
2021-02-26,12.5,12.5,12.5,12.5,12.5,0
2021-03-01,12.5,12.5,12.5,12.5,12.5,0
2021-03-02,12.5,12.5,12.5,12.5,12.5,0
2021-03-03,12.5,12.5,12.5,12.5,12.5,0
2021-03-04,12.5,12.5,12.5,12.5,12.5,0
2021-03-05,12.5,12.5,12.5,12.5,12.5,0
2021-03-08,12.5,12.5,12.5,12.5,12.5,0
2021-03-09,12.5,12.5,12.5,12.5,12.5,0
2021-03-10,12.5,12.5,12.5,12.5,12.5,0
2021-03-11,12.5,12.5,12.5,12.5,12.5,0
2021-03-12,12.5,12.5,12.5,12.5,12.5,0
2021-03-15,12.5,12.5,12.5,12.5,12.5,0
2021-03-16,12.5,12.5,12.5,12.5,12.5,0
2021-03-17,12.5,12.5,12.5,12.5,12.5,0
2021-03-18,12.5,12.5,12.5,12.5,12.5,0
2021-03-19,12.5,12.5,12.5,12.5,12.5,0
2021-03-22,12.5,12.5,12.5,12.5,12.5,0
2021-03-23,12.5,12.5,12.5,12.5,12.5,0
2021-03-24,12.5,12.5,12.5,12.5,12.5,0
2021-03-25,12.5,12.5,12.5,12.5,12.5,0
2021-03-26,12.5,12.5,12.5,12.5,12.5,0
2021-03-29,12.5,12.5,12.5,12.5,12.5,0
2021-03-30,12.5,12.5,12.5,12.5,12.5,0
2021-03-31,12.5,12.5,12.5,12.5,12.5,0
2021-04-01,12.5,12.5,12.5,12.5,12.5,0
2021-04-05,12.5,12.5,12.5,12.5,12.5,0
2021-04-06,12.5,12.5,12.5,12.5,12.5,0
2021-04-07,12.5,12.5,12.5,12.5,12.5,0
2021-04-08,12.5,12.5,12.5,12.5,12.5,0
2021-04-09,12.5,12.5,12.5,12.5,12.5,0
2021-04-12,12.5,12.5,12.5,12.5,12.5,0
2021-04-13,12.5,12.5,12.5,12.5,12.5,0
2021-04-14,12.5,12.5,12.5,12.5,12.5,0
2021-04-15,12.5,12.5,12.5,12.5,12.5,0
2021-04-16,12.5,12.5,12.5,12.5,12.5,0
2021-04-19,12.5,12.5,12.5,12.5,12.5,0
2021-04-20,12.5,12.5,12.5,12.5,12.5,0
2021-04-21,12.5,12.5,12.5,12.5,12.5,0
2021-04-22,12.5,12.5,12.5,12.5,12.5,0
2021-04-23,12.5,12.5,12.5,12.5,12.5,0
2021-04-26,12.5,12.5,12.5,12.5,12.5,0
2021-04-27,12.5,12.5,12.5,12.5,12.5,0
2021-04-28,12.5,12.5,12.5,12.5,12.5,0
2021-04-29,12.5,12.5,12.5,12.5,12.5,0
2021-04-30,12.5,12.5,12.5,12.5,12.5,0
2021-05-03,12.5,12.5,12.5,12.5,12.5,0
2021-05-04,12.5,12.5,12.5,12.5,12.5,0
2021-05-05,12.5,12.5,12.5,12.5,12.5,0
2021-05-06,12.5,12.5,12.5,12.5,12.5,0
2021-05-07,12.5,12.5,12.5,12.5,12.5,0
2021-05-10,12.5,12.5,12.5,12.5,12.5,0
2021-05-11,12.5,12.5,12.5,12.5,12.5,0
2021-05-12,12.5,12.5,12.5,12.5,12.5,0
2021-05-13,12.5,12.5,12.5,12.5,12.5,0
2021-05-14,12.5,12.5,12.5,12.5,12.5,0
2021-05-17,12.5,12.5,12.5,12.5,12.5,0
2021-05-18,12.5,12.5,12.5,12.5,12.5,0
2021-05-19,12.5,12.5,12.5,12.5,12.5,0
2021-05-20,12.5,12.5,12.5,12.5,12.5,0
2021-05-21,12.5,12.5,12.5,12.5,12.5,0
2021-05-24,12.5,12.5,12.5,12.5,12.5,0
2021-05-25,12.5,12.5,12.5,12.5,12.5,0
2021-05-26,12.5,12.5,12.5,12.5,12.5,0
2021-05-27,12.5,12.5,12.5,12.5,12.5,0
2021-05-28,12.5,12.5,12.5,12.5,12.5,0
2021-06-01,12.5,12.5,12.5,12.5,12.5,0
2021-06-02,12.5,12.5,12.5,12.5,12.5,0
2021-06-03,12.5,12.5,12.5,12.5,12.5,0
2021-06-04,12.5,12.5,12.5,12.5,12.5,0
2021-06-07,12.5,12.5,12.5,12.5,12.5,0
2021-06-08,12.5,12.5,12.5,12.5,12.5,0
2021-06-09,12.5,12.5,12.5,12.5,12.5,0
2021-06-10,12.5,12.5,12.5,12.5,12.5,0
2021-06-11,12.5,12.5,12.5,12.5,12.5,0
2021-06-14,12.5,12.5,12.5,12.5,12.5,0
2021-06-15,12.5,12.5,12.5,12.5,12.5,0
2021-06-16,12.5,12.5,12.5,12.5,12.5,0
2021-06-17,12.5,12.5,12.5,12.5,12.5,0
2021-06-18,12.5,12.5,12.5,12.5,12.5,0
2021-06-21,12.5,12.5,12.5,12.5,12.5,0
2021-06-22,12.5,12.5,12.5,12.5,12.5,0
2021-06-23,12.5,12.5,12.5,12.5,12.5,0
2021-06-24,12.5,12.5,12.5,12.5,12.5,0
2021-06-25,12.5,12.5,12.5,12.5,12.5,0
2021-06-28,12.5,12.5,12.5,12.5,12.5,0
2021-06-29,12.5,12.5,12.5,12.5,12.5,0
2021-06-30,12.5,12.5,12.5,12.5,12.5,0
2021-07-01,12.5,12.5,12.5,12.5,12.5,0
2021-07-02,12.5,12.5,12.5,12.5,12.5,0
2021-07-06,12.5,12.5,12.5,12.5,12.5,0
2021-07-07,12.5,12.5,12.5,12.5,12.5,0
2021-07-08,12.5,12.5,12.5,12.5,12.5,0
2021-07-09,12.5,12.5,12.5,12.5,12.5,0
2021-07-12,12.5,12.5,12.5,12.5,12.5,0
2021-07-13,12.5,12.5,12.5,12.5,12.5,0
2021-07-14,12.5,12.5,12.5,12.5,12.5,0
2021-07-15,12.5,12.5,12.5,12.5,12.5,0
2021-07-16,12.5,12.5,12.5,12.5,12.5,0
2021-07-19,12.5,12.5,12.5,12.5,12.5,0
2021-07-20,12.5,12.5,12.5,12.5,12.5,0
2021-07-21,12.5,12.5,12.5,12.5,12.5,0
2021-07-22,12.5,12.5,12.5,12.5,12.5,0
2021-07-23,12.5,12.5,12.5,12.5,12.5,0
2021-07-26,12.5,12.5,12.5,12.5,12.5,0
2021-07-27,12.5,12.5,12.5,12.5,12.5,0
2021-07-28,12.5,12.5,12.5,12.5,12.5,0
2021-07-29,12.5,12.5,12.5,12.5,12.5,0
2021-07-30,12.5,12.5,12.5,12.5,12.5,0
2021-08-02,12.5,12.5,12.5,12.5,12.5,0
2021-08-03,12.5,12.5,12.5,12.5,12.5,0
2021-08-04,12.5,12.5,12.5,12.5,12.5,0
2021-08-05,12.5,12.5,12.5,12.5,12.5,0
2021-08-06,12.5,12.5,12.5,12.5,12.5,0
2021-08-09,12.5,12.5,12.5,12.5,12.5,0
2021-08-10,12.5,12.5,12.5,12.5,12.5,0
2021-08-11,12.5,12.5,12.5,12.5,12.5,0
2021-08-12,12.5,12.5,12.5,12.5,12.5,0
2021-08-13,12.5,12.5,12.5,12.5,12.5,0
2021-08-16,12.5,12.5,12.5,12.5,12.5,0
2021-08-17,12.5,12.5,12.5,12.5,12.5,0
2021-08-18,12.5,12.5,12.5,12.5,12.5,0
2021-08-19,12.5,12.5,12.5,12.5,12.5,0
2021-08-20,12.5,12.5,12.5,12.5,12.5,0
2021-08-23,12.5,12.5,12.5,12.5,12.5,0
2021-08-24,12.5,12.5,12.5,12.5,12.5,0
2021-08-25,12.5,12.5,12.5,12.5,12.5,0
2021-08-26,12.5,12.5,12.5,12.5,12.5,0
2021-08-27,12.5,12.5,12.5,12.5,12.5,0
2021-08-30,12.5,12.5,12.5,12.5,12.5,0
2021-08-31,12.5,12.5,12.5,12.5,12.5,0
2021-09-01,12.5,12.5,12.5,12.5,12.5,0
2021-09-02,12.5,12.5,12.5,12.5,12.5,0
2021-09-03,12.5,12.5,12.5,12.5,12.5,0
2021-09-07,12.5,12.5,12.5,12.5,12.5,0
2021-09-08,12.5,12.5,12.5,12.5,12.5,0
2021-09-09,12.5,12.5,12.5,12.5,12.5,0
2021-09-10,12.5,12.5,12.5,12.5,12.5,0
2021-09-13,12.5,12.5,12.5,12.5,12.5,0
2021-09-14,12.5,12.5,12.5,12.5,12.5,0
2021-09-15,12.5,12.5,12.5,12.5,12.5,0
2021-09-16,12.5,12.5,12.5,12.5,12.5,0
2021-09-17,12.5,12.5,12.5,12.5,12.5,0
2021-09-20,12.5,12.5,12.5,12.5,12.5,0
2021-09-21,12.5,12.5,12.5,12.5,12.5,0
2021-09-22,12.5,12.5,12.5,12.5,12.5,0
2021-09-23,12.5,12.5,12.5,12.5,12.5,0
2021-09-24,12.5,12.5,12.5,12.5,12.5,0
2021-09-27,12.5,12.5,12.5,12.5,12.5,0
2021-09-28,12.5,12.5,12.5,12.5,12.5,0
2021-09-29,12.5,12.5,12.5,12.5,12.5,0
2021-09-30,12.5,12.5,12.5,12.5,12.5,0
2021-10-01,12.5,12.5,12.5,12.5,12.5,0
2021-10-04,12.5,12.5,12.5,12.5,12.5,0
2021-10-05,12.5,12.5,12.5,12.5,12.5,0
2021-10-06,12.5,12.5,12.5,12.5,12.5,0
2021-10-07,12.5,12.5,12.5,12.5,12.5,0
2021-10-08,12.5,12.5,12.5,12.5,12.5,0
2021-10-11,12.5,12.5,12.5,12.5,12.5,0
2021-10-12,12.5,12.5,12.5,12.5,12.5,0
2021-10-13,12.5,12.5,12.5,12.5,12.5,0
2021-10-14,12.5,12.5,12.5,12.5,12.5,0
2021-10-15,12.5,12.5,12.5,12.5,12.5,0
2021-10-18,12.5,12.5,12.5,12.5,12.5,0
2021-10-19,12.5,12.5,12.5,12.5,12.5,0
2021-10-20,12.5,12.5,12.5,12.5,12.5,0
2021-10-21,12.5,12.5,12.5,12.5,12.5,0
2021-10-22,12.5,12.5,12.5,12.5,12.5,0
2021-10-25,12.5,12.5,12.5,12.5,12.5,0
2021-10-26,12.5,12.5,12.5,12.5,12.5,0
2021-10-27,12.5,12.5,12.5,12.5,12.5,0
2021-10-28,12.5,12.5,12.5,12.5,12.5,0
2021-10-29,12.5,12.5,12.5,12.5,12.5,0
2021-11-01,12.5,12.5,12.5,12.5,12.5,0
2021-11-02,12.5,12.5,12.5,12.5,12.5,0
2021-11-03,12.5,12.5,12.5,12.5,12.5,0
2021-11-04,12.5,12.5,12.5,12.5,12.5,0
2021-11-05,12.5,12.5,12.5,12.5,12.5,0
2021-11-08,12.5,12.5,12.5,12.5,12.5,0
2021-11-09,12.5,12.5,12.5,12.5,12.5,0
2021-11-10,12.5,12.5,12.5,12.5,12.5,0
2021-11-11,12.5,12.5,12.5,12.5,12.5,0
2021-11-12,12.5,12.5,12.5,12.5,12.5,0
2021-11-15,12.5,12.5,12.5,12.5,12.5,0
2021-11-16,12.5,12.5,12.5,12.5,12.5,0
2021-11-17,12.5,12.5,12.5,12.5,12.5,0
2021-11-18,12.5,12.5,12.5,12.5,12.5,0
2021-11-19,12.5,12.5,12.5,12.5,12.5,0
2021-11-22,12.5,12.5,12.5,12.5,12.5,0
2021-11-23,12.5,12.5,12.5,12.5,12.5,0
2021-11-24,12.5,12.5,12.5,12.5,12.5,0
